CaptureDate,PlotName,CaptureTime,Recap,BandPrefixNumber,BandSuffixNumber,ColorBands,Age,Sex,FatScore,ConcTRIG,TRIG.issues,BurnTreatment,GrazingTreatment,timeperiod,CaptureYear,yearSinceBurn,MeanDensity,MeanEdibleMass
5/12/13,COB,9:58,FALSE,1831,10505,YS-RO,AHY,M,1,1.023,FALSE,1,Cattle,Early,2013,0,3.375,NA
5/12/13,COB,6:41,FALSE,1831,10501,WR-SK,AHY,M,0,0.816,FALSE,1,Cattle,Early,2013,0,3.375,NA
5/12/13,COB,7:44,FALSE,1831,10502,KW-SW,AHY,M,0,-999,FALSE,1,Cattle,Early,2013,0,3.375,NA
5/12/13,COB,9:08,FALSE,1831,10504,SO-PG,AHY,M,0,0.778447,FALSE,1,Cattle,Early,2013,0,3.375,NA
5/12/13,COB,8:12,FALSE,1831,10503,KD-SY,AHY,M,-9,-999,FALSE,1,Cattle,Early,2013,0,3.375,NA
5/13/13,C3B,6:55,FALSE,1831,10600,YB-SR,AHY,M,0,-999,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/13/13,C3B,8:04,FALSE,1831,10599,OS-BG,AHY,M,0,-999,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/13/13,C3B,8:11,FALSE,1831,10598,RW-SD,AHY,M,0,-999,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/13/13,C3B,8:52,TRUE,1831,10597,SW-OR,AHY,M,0,0.54896,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/13/13,C3B,9:25,FALSE,1831,10596,SA-PY,AHY,M,0,0.84231,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/13/13,C3B,10:16,FALSE,1831,10597,SW-OR,AHY,M,-9,-999,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/14/13,C3SA,7:17,FALSE,1831,10594,GS-PB,AHY,M,0,0.155316,FALSE,3,Cattle,Early,2013,2,1.75,NA
5/14/13,C3SA,7:57,FALSE,1831,10593,PS-RW,AHY,M,0,0.77019,FALSE,3,Cattle,Early,2013,2,1.75,NA
5/14/13,C3SA,6:40,FALSE,1831,10595,YS-KO,AHY,M,0,0.8965,FALSE,3,Cattle,Early,2013,2,1.75,NA
5/14/13,C3SA,8:50,FALSE,1831,10592,SD-BG,AHY,M,0,0.576028,TRUE,3,Cattle,Early,2013,2,1.75,NA
5/14/13,C3SA,9:33,FALSE,1831,10591,WD-SP,AHY,M,0,0.61036,FALSE,3,Cattle,Early,2013,2,1.75,NA
5/14/13,C3SA,10:01,FALSE,1831,10590,GR-WS,AHY,M,0.5,0.62421,FALSE,3,Cattle,Early,2013,2,1.75,NA
5/15/13,2A,9:54,FALSE,1831,10585,KY-SB,AHY,M,2,0.50598,FALSE,2,None,Early,2013,1,0.5,NA
5/15/13,2A,9:11,FALSE,1831,10587,SA-OG,AHY,M,0,0.5858,FALSE,2,None,Early,2013,1,0.5,NA
5/15/13,2A,6:32,FALSE,1831,10588,BY-SP,AHY,M,1,0.45767,FALSE,2,None,Early,2013,1,0.5,NA
5/15/13,2A,9:11,FALSE,1831,10586,SD-RW,AHY,M,1,0.54177,FALSE,2,None,Early,2013,1,0.5,NA
5/15/13,2A,6:30,FALSE,1831,10589,SW-KD,AHY,M,1,-999,FALSE,2,None,Early,2013,1,0.5,NA
5/16/13,N1A,6:38,FALSE,1831,10584,WK-SW,AHY,M,0,0.658416,FALSE,1,Bison,Early,2013,0,1.3,NA
5/16/13,N1A,6:58,FALSE,1831,10583,GO-SK,AHY,M,1,0.922866,FALSE,1,Bison,Early,2013,0,1.3,NA
5/16/13,N1A,7:39,FALSE,1831,10582,SD-YD,AHY,M,0,0.61994,FALSE,1,Bison,Early,2013,0,1.3,NA
5/16/13,N1A,9:16,FALSE,1831,10580,SB-OP,AHY,M,0,0.88527,FALSE,1,Bison,Early,2013,0,1.3,NA
5/16/13,N1A,8:25,FALSE,1831,10581,SB-RG,AHY,M,1,1,TRUE,1,Bison,Early,2013,0,1.3,NA
5/17/13,C3B,6:22,FALSE,1831,10579,SG-DO,AHY,M,1,0.742266,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/17/13,C3B,7:15,FALSE,1831,10578,OR-YS,AHY,M,0,0.942216,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/17/13,C3B,7:30,FALSE,1831,10577,PD-KS,AHY,M,0,0.86466,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/17/13,C3B,8:45,FALSE,1831,10576,OS-KD,AHY,M,0,0.83029,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/17/13,C3B,9:25,FALSE,1831,10575,PS-RP,AHY,M,1,0.69525,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/17/13,C3B,9:52,FALSE,1831,10574,SK-WB,AHY,M,0,0.60422,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/20/13,C3C,11:11,FALSE,1831,10568,RA-SO,AHY,M,1,0.85779,FALSE,3,Cattle,Early,2013,1,4.75,NA
5/20/13,C3C,10:34,FALSE,1831,10569,KY-SG,AHY,M,0,0.57966,FALSE,3,Cattle,Early,2013,1,4.75,NA
5/20/13,C3C,6:31,FALSE,1831,10573,GY-KS,AHY,M,0,0.49373,FALSE,3,Cattle,Early,2013,1,4.75,NA
5/20/13,C3C,7:10,FALSE,1831,10572,SP-BO,AHY,M,0,0.44225,TRUE,3,Cattle,Early,2013,1,4.75,NA
5/20/13,C3C,7:45,FALSE,1831,10571,DR-GS,AHY,M,0,0.684216,FALSE,3,Cattle,Early,2013,1,4.75,NA
5/20/13,C3C,10:07,FALSE,1831,10570,SW-RG,AHY,M,0,0.775181,FALSE,3,Cattle,Early,2013,1,4.75,NA
5/21/13,K2A,8:50,FALSE,1831,10563,YK-SD,AHY,M,1,1.0156,FALSE,2,None,Early,2013,1,1.7,NA
5/21/13,K2A,6:30,FALSE,1831,10567,PS-DY,AHY,M,0,0.8045,FALSE,2,None,Early,2013,1,1.7,NA
5/21/13,K2A,7:01,FALSE,1831,10566,OS-GB,AHY,M,0,0.5244,FALSE,2,None,Early,2013,1,1.7,NA
5/21/13,K2A,8:18,FALSE,1831,10564,SW-WG,AHY,M,0,1.2645,FALSE,2,None,Early,2013,1,1.7,NA
5/21/13,K2A,9:27,FALSE,1831,10561,YP-KS,AHY,M,0,1.064766,FALSE,2,None,Early,2013,1,1.7,NA
5/21/13,K2A,9:27,FALSE,1831,10562,GR-SD,AHY,M,1,0.974466,FALSE,2,None,Early,2013,1,1.7,NA
5/21/13,K2A,7:34,FALSE,1831,10565,SR-DR,AHY,M,0,1.201248,TRUE,2,None,Early,2013,1,1.7,NA
5/22/13,C3A,6:22,FALSE,1831,10560,AG-SR,AHY,M,2,0.530878,TRUE,3,Cattle,Early,2013,0,0.75,NA
5/22/13,C3B,9:51,FALSE,1831,10558,SY-AD,AHY,M,0,0.82428,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/22/13,C3C,7:19,FALSE,1831,10559,SB-DP,AHY,M,0,0.609,FALSE,3,Cattle,Early,2013,1,4.75,NA
5/23/13,COA,6:09,FALSE,1831,10557,PO-SB,AHY,M,1,1.09137,FALSE,1,Cattle,Early,2013,0,3.375,NA
5/23/13,COA,6:39,FALSE,1831,10556,SR-BG,AHY,M,0,0.78725,FALSE,1,Cattle,Early,2013,0,3.375,NA
5/23/13,COA,7:30,FALSE,1831,10555,KS-WG,AHY,M,0,0.7086,FALSE,1,Cattle,Early,2013,0,3.375,NA
5/28/13,N2A,6:19,FALSE,1831,10553,BS-GO,AHY,M,1,0.980916,FALSE,2,Bison,Early,2013,1,1,NA
5/31/13,C3B,6:35,FALSE,1320,83946,SD-KW,AHY,M,0,-999,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
5/31/13,C3C,10:50,FALSE,1320,83949,SY-GK,AHY,M,-9,-999,FALSE,3,Cattle,Early,2013,1,4.75,NA
5/31/13,C3C,10:45,FALSE,1320,83948,SD-KG,AHY,M,0,1.12075,TRUE,3,Cattle,Early,2013,1,4.75,NA
5/31/13,C3C,9:45,FALSE,1320,83947,SD-KD,AHY,M,1,1.0845,FALSE,3,Cattle,Early,2013,1,4.75,NA
6/1/13,2A,7:15,FALSE,1831,10552,BS-RD,AHY,M,0,0.78822,FALSE,2,None,Early,2013,1,0.5,NA
6/2/13,C3C,6:20,FALSE,1320,83950,KP-GS,AHY,M,0,-999,FALSE,3,Cattle,Early,2013,1,4.75,NA
6/2/13,C3C,10:10,FALSE,1320,83951,SD-KP,AHY,M,0,-999,FALSE,3,Cattle,Early,2013,1,4.75,NA
6/3/13,C3B,9:45,FALSE,1320,83952,SD-KR,AHY,M,0,-999,FALSE,3,Cattle,Early,2013,2,2.166666667,NA
6/3/13,N2B,8:58,FALSE,1831,10547,WS-DP,AHY,M,1,0.568116,FALSE,2,Bison,Early,2013,0,1.75,NA
6/3/13,N2B,7:00,FALSE,1831,10550,YO-SD,AHY,M,1,1.316316,FALSE,2,Bison,Early,2013,0,1.75,NA
6/3/13,N2B,7:05,FALSE,1831,10551,PS-BR,AHY,M,0,0.566111,TRUE,2,Bison,Early,2013,0,1.75,NA
6/3/13,N2B,8:27,FALSE,1831,10548,YS-WR,AHY,M,1,0.839,FALSE,2,Bison,Early,2013,0,1.75,NA
6/3/13,N2B,10:24,FALSE,1831,10546,DS-BG,AHY,M,2,1.35316,FALSE,2,Bison,Early,2013,0,1.75,NA
6/3/13,N2B,7:45,FALSE,1831,10549,GK-SG,AHY,M,0,0.82344,FALSE,2,Bison,Early,2013,0,1.75,NA
6/4/13,1D,9:20,FALSE,1320,83953,SD-WK,AHY,M,0,-999,FALSE,1,None,Early,2013,0,NA,NA
6/4/13,C3SA,10:37,FALSE,1831,10543,PW-RS,AHY,M,1,0.62625,FALSE,3,Cattle,Early,2013,2,1.75,NA
6/4/13,C3SA,9:16,FALSE,1831,10545,OS-YG,AHY,M,0,0.774516,FALSE,3,Cattle,Early,2013,2,1.75,NA
6/4/13,C3SA,10:05,FALSE,1831,10544,WG-OS,AHY,M,0,0.78822,FALSE,3,Cattle,Early,2013,2,1.75,NA
6/6/13,C3SC,6:35,FALSE,1831,10542,BS-PR,AHY,M,1,0.89214,FALSE,3,Cattle,Early,2013,1,0.5,NA
6/6/13,C3SC,7:23,FALSE,1831,10541,KG-SG,AHY,M,1,-999,FALSE,3,Cattle,Early,2013,1,0.5,NA
6/6/13,C3SC,9:02,FALSE,1831,10540,RY-SW,AHY,M,1,1.303416,FALSE,3,Cattle,Early,2013,1,0.5,NA
6/6/13,COB,11:58,FALSE,1831,10539,GY-SP,AHY,M,1,0.69878,TRUE,1,Cattle,Early,2013,0,3.375,NA
6/6/13,COB,10:31,TRUE,1831,10501,WR-SK,AHY,M,1,1.07475,FALSE,1,Cattle,Early,2013,0,3.375,NA
6/6/13,COB,12:45,TRUE,1831,10505,YS-RO,AHY,M,1,1.58612,TRUE,1,Cattle,Early,2013,0,3.375,NA
